iter	Passed	Remaining
0	166	166378
1	176	88168
2	183	61105
3	190	47477
4	197	39310
5	204	33831
6	210	29875
7	216	26873
8	222	24553
9	228	22668
10	234	21100
11	241	19906
12	247	18792
13	253	17857
14	259	17040
15	265	16335
16	271	15698
17	277	15130
18	284	14680
19	290	14252
20	296	13844
21	302	13469
22	308	13125
23	314	12809
24	320	12516
25	326	12249
26	333	12000
27	338	11760
28	344	11545
29	350	11346
30	357	11167
31	363	10992
32	369	10828
33	375	10675
34	381	10524
35	387	10380
36	393	10252
37	399	10124
38	405	9997
39	411	9884
40	417	9771
41	423	9662
42	429	9564
43	435	9466
44	441	9372
45	447	9284
46	453	9196
47	459	9116
48	465	9031
49	471	8952
50	476	8873
51	482	8799
52	488	8728
53	494	8661
54	500	8599
55	506	8542
56	513	8489
57	519	8439
58	526	8390
59	532	8340
60	538	8292
61	545	8246
62	551	8197
63	557	8154
64	564	8113
65	570	8070
66	576	8028
67	582	7985
68	588	7943
69	595	7907
70	601	7868
71	607	7831
72	614	7797
73	619	7756
74	626	7720
75	631	7681
76	637	7646
77	643	7611
78	649	7577
79	654	7525
80	659	7485
81	665	7453
82	673	7437
83	680	7420
84	684	7371
85	690	7340
86	696	7313
87	703	7290
88	709	7263
89	715	7236
90	720	7192
91	726	7169
92	733	7151
93	739	7129
94	746	7107
95	752	7084
96	758	7063
97	765	7041
98	771	7018
99	778	7003
100	785	6990
101	791	6969
102	798	6951
103	804	6927
104	810	6905
105	816	6882
106	822	6863
107	828	6845
108	835	6827
109	842	6813
110	848	6794
111	854	6775
112	860	6756
113	866	6737
114	873	6719
115	878	6698
116	885	6679
117	891	6662
118	897	6644
119	903	6627
120	909	6610
121	916	6592
122	920	6559
123	926	6542
124	932	6526
125	938	6510
126	944	6495
127	951	6479
128	957	6462
129	963	6447
130	970	6435
131	976	6419
132	982	6404
133	988	6389
134	994	6375
135	999	6349
136	1005	6335
137	1011	6320
138	1018	6305
139	1023	6289
140	1029	6274
141	1036	6261
142	1042	6248
143	1048	6233
144	1053	6212
145	1059	6197
146	1065	6185
147	1072	6173
148	1078	6160
149	1084	6146
150	1091	6135
151	1097	6120
152	1107	6130
153	1120	6152
154	1132	6171
155	1144	6190
156	1156	6209
157	1169	6231
158	1182	6253
159	1197	6285
160	1211	6313
161	1223	6330
162	1236	6347
163	1248	6364
164	1261	6383
165	1273	6399
166	1286	6416
167	1301	6445
168	1314	6463
169	1327	6481
170	1339	6495
171	1351	6508
172	1361	6508
173	1373	6522
174	1386	6534
175	1398	6548
176	1411	6563
177	1424	6576
178	1436	6589
179	1448	6599
180	1460	6610
181	1473	6620
182	1485	6631
183	1497	6641
184	1509	6650
185	1522	6661
186	1534	6671
187	1547	6683
188	1559	6693
189	1572	6704
190	1584	6710
191	1597	6721
192	1611	6736
193	1625	6753
194	1639	6768
195	1651	6776
196	1664	6786
197	1677	6795
198	1689	6801
199	1702	6808
200	1716	6824
201	1730	6837
202	1744	6848
203	1757	6856
204	1769	6863
205	1783	6872
206	1795	6878
207	1808	6887
208	1821	6895
209	1835	6904
210	1849	6917
211	1862	6924
212	1874	6924
213	1886	6929
214	1899	6935
215	1912	6940
216	1925	6946
217	1937	6951
218	1952	6963
219	1965	6967
220	1977	6970
221	1989	6972
222	2003	6980
223	2016	6985
224	2029	6990
225	2041	6992
226	2054	6995
227	2069	7006
228	2084	7018
229	2098	7025
230	2113	7036
231	2124	7032
232	2136	7033
233	2149	7035
234	2159	7029
235	2171	7029
236	2183	7030
237	2196	7031
238	2206	7024
239	2218	7025
240	2230	7025
241	2245	7033
242	2257	7031
243	2267	7024
244	2281	7030
245	2293	7030
246	2306	7031
247	2319	7032
248	2331	7031
249	2343	7031
250	2358	7036
251	2372	7042
252	2384	7041
253	2397	7040
254	2410	7041
255	2421	7037
256	2434	7037
257	2444	7029
258	2456	7028
259	2469	7028
260	2477	7014
261	2489	7012
262	2502	7011
263	2514	7010
264	2527	7008
265	2537	7002
266	2545	6987
267	2552	6971
268	2558	6953
269	2564	6934
270	2570	6914
271	2575	6894
272	2579	6870
273	2585	6851
274	2591	6832
275	2597	6813
276	2603	6794
277	2609	6775
278	2614	6757
279	2620	6738
280	2625	6716
281	2630	6698
282	2635	6676
283	2641	6658
284	2645	6636
285	2650	6617
286	2656	6600
287	2662	6581
288	2668	6563
289	2673	6546
290	2679	6528
291	2684	6510
292	2690	6493
293	2696	6475
294	2701	6455
295	2706	6437
296	2712	6419
297	2717	6402
298	2723	6384
299	2728	6365
300	2733	6347
301	2739	6330
302	2744	6313
303	2750	6297
304	2757	6283
305	2764	6268
306	2769	6251
307	2774	6234
308	2781	6219
309	2786	6203
310	2792	6186
